Client Prepa Post Req (s),Client Prepa Pre Req (s),Global Prepr (S),Hints (MiB),Online State (KiB),Prep Down (KiB),Prep Up (Kib),Query Down (KiB),Query Up (KiB),Query: Client Decryption (ms),Query: Client Req Gen (ms),Query: Server Comp (s),Server Prepa Comp (s),cols,rows
0.132444,16.6319,1716.06,352.0,13605.0,11525.0,360.0,316.0,631.0,0.042442,5.61323,1.17788,0.973595,131072,65536
0.265891,4.66903,1748.5,704.0,25131.0,23051.0,360.0,632.0,315.0,0.089581,2.84745,1.19317,1.64693,65536,131072
